IDENT;HPM_VAL;HPS_VAL;MJO_VAL;HPM_%;HPS_%;MJO_%;PL_VAL;PL_%;VIT_VAL;VIT_EVO;COMMENT;NOM_VOIE;SENS_CIR;V85_VL;V85_PL
Z3CT1;155;180;2382;0,58%;-3,21%;-3,78%;;;;;;Bordeaux Rue de Pessac après A. Larrieu;Sens Entrant;;
Z3CT2;540;433;6974;-3,12%;-2,37%;-2,00%;;;;;;Bordeaux Briand Albret après J. Burguet;Sud > Nord;;
Z3CT7;150;146;2303;-9,53%;-8,35%;-7,47%;;;;;;Bordeaux Cours Somme après Lafontaine;Sens Entrant;;
Z3CT14;292;574;4629;-1,44%;-2,16%;1,01%;;;;;;Bordeaux Rue Lamourous avant St. Genès.;Sens Sortant;;
Z3CT16;279;273;4918;-1,55%;2,74%;7,24%;;;;;;Bordeaux Cours de la Marne après Meunier;Sens gare vers Victoire;;
Z4CT1;869;747;11593;-3,00%;-5,05%;-3,44%;;;;;;Bordeaux Crs de Verdun angle d'Aviau;Nord > Sud;;
Z4CT9;388;374;6658;-2,68%;-10,45%;-6,84%;;;;;;Bordeaux 20 Rue Judaïque;Sens Sortant;;
Z4CT18;863;823;12181;10,18%;1,92%;6,08%;;;;;;Bordeaux Cours Clémenceau avant Buffon;Sud > Nord;;
Z4CT23;338;364;5354;-1,92%;-7,04%;-0,38%;;;;;;Bordeaux Cours de Verdun avant Doumer;Sens Sortant;;
Z5CT5;1539;1096;17494;-1,71%;7,84%;7,71%;;;;;;Bordeaux Voie sur berge avant Pt St Jean;Rive Gauche Sud > Nord;;
Z5CT11;516;435;7133;1,53%;-1,43%;3,02%;;;;;;Bordeaux Rue Peyronnet après Tauzia;de Tauzia > Marne;;
Z5CT12;561;684;10303;-0,61%;1,02%;2,69%;;;;;;Bordeaux Cours de la Marne après Malbec;Nord > Sud;;
Z5CT13;329;378;6376;4,72%;5,34%;5,49%;;;;;;Bordeaux Cours de la Marne avant Meunier;Nord > Sud;;
